team_rankings_team_short,team_rankings_team_long,espn_team_slug,espn_team_id,espn_team_name
Marist,marist-red-foxes,marist-red-foxes,2368,Marist Red Foxes
Marquette,marquette-golden-eagles,marquette-golden-eagles,269,Marquette Golden Eagles
Marshall,marshall-thundering-herd,marshall-thundering-herd,276,Marshall Thundering Herd
Maryland,maryland-terrapins,maryland-terrapins,120,Maryland Terrapins
UMBC,umbc-retrievers,umbc-retrievers,2378,Umbc Retrievers
Mass Lowell,massachusetts-lowell-river-hawks,umass-lowell-river-hawks,2349,Umass Lowell River Hawks
McNeese,mcneese-st-cowboys,mcneese-cowboys,2377,Mcneese Cowboys
Memphis,memphis-tigers,memphis-tigers,235,Memphis Tigers
Mercer,mercer-bears,mercer-bears,2382,Mercer Bears
Mercyhurst,mercyhurst-lakers,mercyhurst-lakers,2385,Mercyhurst Lakers
Merrimack,merrimack-warriors,merrimack-warriors,2771,Merrimack Warriors
Miami,miami-hurricanes,miami-hurricanes,2390,Miami Hurricanes
Miami OH,miami-oh-redhawks,miami-oh-redhawks,193,Miami Oh Redhawks
Michigan,michigan-wolverines,michigan-wolverines,130,Michigan Wolverines
Michigan St,michigan-st-spartans,michigan-state-spartans,127,Michigan State Spartans
Middle Tenn,middle-tennessee-st-blue-raiders,middle-tennessee-blue-raiders,2393,Middle Tennessee Blue Raiders
Minnesota,minnesota-golden-gophers,minnesota-golden-gophers,135,Minnesota Golden Gophers
Mississippi St,mississippi-state-bulldogs,mississippi-state-bulldogs,344,Mississippi State Bulldogs
Miss Valley St,mississippi-valley-state-delta-devils,mississippi-valley-state-delta-devils,2400,Mississippi Valley State Delta Devils
Mississippi,mississippi-rebels,ole-miss-rebels,145,Ole Miss Rebels
Missouri,missouri-tigers,missouri-tigers,142,Missouri Tigers
Missouri St,missouri-st-bears,missouri-state-bears,2623,Missouri State Bears
Monmouth,monmouth-nj-hawks,monmouth-hawks,2405,Monmouth Hawks
Montana,montana-grizzlies,montana-grizzlies,149,Montana Grizzlies
Montana St,montana-st-bobcats,montana-state-bobcats,147,Montana State Bobcats
Morehead St,morehead-st-eagles,morehead-state-eagles,2413,Morehead State Eagles
Morgan St,morgan-st-bears,morgan-state-bears,2415,Morgan State Bears
Mt St Mary's,mount-st-marys-mountaineers,mount-st-marys-mountaineers,116,Mount St Marys Mountaineers
Murray St,murray-st-racers,murray-state-racers,93,Murray State Racers
N Alabama,north-alabama-lions,north-alabama-lions,2453,North Alabama Lions
N Arizona,northern-arizona-lumberjacks,northern-arizona-lumberjacks,2464,Northern Arizona Lumberjacks
North Carolina,north-carolina-tar-heels,north-carolina-tar-heels,153,North Carolina Tar Heels
N Colorado,northern-colorado-bears,northern-colorado-bears,2458,Northern Colorado Bears
N Dakota St,north-dakota-state-bison,north-dakota-state-bison,2449,North Dakota State Bison
N Florida,north-florida-ospreys,north-florida-ospreys,2454,North Florida Ospreys
New Hampshire,new-hampshire-wildcats,new-hampshire-wildcats,160,New Hampshire Wildcats
N Illinois,northern-illinois-huskies,northern-illinois-huskies,2459,Northern Illinois Huskies
N Iowa,northern-iowa-panthers,northern-iowa-panthers,2460,Northern Iowa Panthers
N Kentucky,northern-kentucky-norse,northern-kentucky-norse,94,Northern Kentucky Norse
N Mex State,new-mexico-st-aggies,new-mexico-state-aggies,166,New Mexico State Aggies
Navy,navy-midshipmen,navy-midshipmen,2426,Navy Midshipmen
NC A&T,north-carolina-at-aggies,north-carolina-at-aggies,2448,North Carolina At Aggies
NC Central,north-carolina-central-eagles,north-carolina-central-eagles,2428,North Carolina Central Eagles
NC State,nc-state-wolfpack,nc-state-wolfpack,152,Nc State Wolfpack
NC Asheville,unc-asheville-bulldogs,unc-asheville-bulldogs,2427,Unc Asheville Bulldogs
NC Greensboro,unc-greensboro-spartans,unc-greensboro-spartans,2430,Unc Greensboro Spartans
NC Wilmington,unc-wilmington-seahawks,unc-wilmington-seahawks,350,Unc Wilmington Seahawks
Omaha,nebraska-omaha-mavericks,omaha-mavericks,2437,Omaha Mavericks
Nebraska,nebraska-cornhuskers,nebraska-cornhuskers,158,Nebraska Cornhuskers
Nevada,nevada-wolf-pack,nevada-wolf-pack,2440,Nevada Wolf Pack
New Mexico,new-mexico-lobos,new-mexico-lobos,167,New Mexico Lobos
New Orleans,new-orleans-privateers,new-orleans-privateers,2443,New Orleans Privateers
Niagara,niagara-purple-eagles,niagara-purple-eagles,315,Niagara Purple Eagles
Nicholls St,nicholls-state-colonels,nicholls-colonels,2447,Nicholls Colonels
NJIT,njit-highlanders,njit-highlanders,2885,Njit Highlanders
Norfolk St,norfolk-state-spartans,norfolk-state-spartans,2450,Norfolk State Spartans
North Dakota,north-dakota-fighting-hawks,north-dakota-fighting-hawks,155,North Dakota Fighting Hawks
N Texas,north-texas-mean-green,north-texas-mean-green,249,North Texas Mean Green
Northeastern,northeastern-huskies,northeastern-huskies,111,Northeastern Huskies
Northwestern,northwestern-wildcats,northwestern-wildcats,77,Northwestern Wildcats
Notre Dame,notre-dame-fighting-irish,notre-dame-fighting-irish,87,Notre Dame Fighting Irish
NW State,northwestern-st-demons,northwestern-state-demons,2466,Northwestern State Demons
Oakland,oakland-golden-grizzlies,oakland-golden-grizzlies,2473,Oakland Golden Grizzlies
Ohio,ohio-bobcats,ohio-bobcats,195,Ohio Bobcats
Ohio State,ohio-st-buckeyes,ohio-state-buckeyes,194,Ohio State Buckeyes
Oklahoma,oklahoma-sooners,oklahoma-sooners,201,Oklahoma Sooners
Oklahoma St,oklahoma-state-cowboys,oklahoma-state-cowboys,197,Oklahoma State Cowboys
Old Dominion,old-dominion-monarchs,old-dominion-monarchs,295,Old Dominion Monarchs
Oral Roberts,oral-roberts-golden-eagles,oral-roberts-golden-eagles,198,Oral Roberts Golden Eagles
Oregon,oregon-ducks,oregon-ducks,2483,Oregon Ducks
Oregon St,oregon-st-beavers,oregon-state-beavers,204,Oregon State Beavers
Pacific,pacific-tigers,pacific-tigers,279,Pacific Tigers
Penn State,penn-st-nittany-lions,penn-state-nittany-lions,213,Penn State Nittany Lions
Pepperdine,pepperdine-waves,pepperdine-waves,2492,Pepperdine Waves
Pittsburgh,pittsburgh-panthers,pittsburgh-panthers,221,Pittsburgh Panthers
Portland,portland-pilots,portland-pilots,2501,Portland Pilots
Portland St,portland-st-vikings,portland-state-vikings,2502,Portland State Vikings
Prairie View,prairie-view-am-panthers,prairie-view-am-panthers,2504,Prairie View Am Panthers
Presbyterian,presbyterian-blue-hose,presbyterian-blue-hose,2506,Presbyterian Blue Hose
Providence,providence-friars,providence-friars,2507,Providence Friars
Purdue,purdue-boilermakers,purdue-boilermakers,2509,Purdue Boilermakers
Quinnipiac,quinnipiac-bobcats,quinnipiac-bobcats,2514,Quinnipiac Bobcats
Radford,radford-highlanders,radford-highlanders,2515,Radford Highlanders
Rhode Island,rhode-island-rams,rhode-island-rams,227,Rhode Island Rams
Rice,rice-owls,rice-owls,242,Rice Owls
Richmond,richmond-spiders,richmond-spiders,257,Richmond Spiders
